,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating
1044,Desert Junior/Senior High School,https://www.niche.com/k12/desert-junior-senior-high-school-edwards-ca/,0.95,0.48,0.27,0.26,0.38,9.0,1180.0,570.0,600.0,23.0,21.0,23.0,23.0,23.0,1045,Muroc Joint Unified School District,Edwards,3.07
1045,Exeter Union High,https://www.niche.com/k12/exeter-union-high-exeter-ca/,0.99,0.57,0.12,0.42,0.17,7.0,1070.0,520.0,550.0,25.0,22.0,28.0,26.0,24.0,1046,Exeter Unified School District,Exeter,3.89
1046,Patterson High School,https://www.niche.com/k12/patterson-high-school-patterson-ca/,0.94,0.54,0.14,0.53,0.3,13.0,1060.0,520.0,540.0,23.0,22.0,23.0,23.0,21.0,1047,Patterson Joint Unified School District,Patterson,3.53
1047,Mendota High School,https://www.niche.com/k12/mendota-high-school-mendota-ca/,0.87,0.65,0.24,0.36,0.1,11.0,970.0,480.0,490.0,19.0,19.0,19.0,18.0,18.0,1048,Mendota Unified School District,Mendota,3.75
1048,Vista Oaks Charter School,https://www.niche.com/k12/vista-oaks-charter-school-lodi-ca/,0.87,0.47,0.24,,,,1170.0,570.0,600.0,,,,,,1049,,Lodi,4.17
1049,Northridge Academy High School,https://www.niche.com/k12/northridge-academy-high-school-northridge-ca/,0.94,0.52,0.12,0.32,0.2,11.0,1070.0,530.0,540.0,,,,,,1050,Los Angeles Unified School District,Northridge,3.73
1050,Florin High School,https://www.niche.com/k12/florin-high-school-sacramento-ca/,0.83,0.39,0.14,0.13,0.17,15.0,1080.0,540.0,540.0,21.0,21.0,22.0,21.0,21.0,1051,Elk Grove Unified School District,Sacramento,3.84
1051,Woodland Senior High School,https://www.niche.com/k12/woodland-senior-high-school-woodland-ca/,0.96,0.46,0.16,0.47,0.23,15.0,1090.0,530.0,550.0,23.0,22.0,24.0,23.0,23.0,1052,Woodland Joint Unified School District,Woodland,3.52
1052,Griffin Academy High School,https://www.niche.com/k12/griffin-academy-high-school-vallejo-ca/,,,,,,,1050.0,500.0,550.0,,,,,,1053,,Vallejo,3.0
1053,Ridgeview High School,https://www.niche.com/k12/ridgeview-high-school-bakersfield-ca/,0.91,0.53,0.17,0.54,0.12,8.0,1110.0,550.0,560.0,22.0,22.0,23.0,22.0,22.0,1054,Kern High School District,Bakersfield,3.81
1054,Public Service Community School at Diego Rivera Learning Complex,https://www.niche.com/k12/public-service-community-school-at-diego-rivera-learning-complex-los-angeles-ca/,0.92,0.42,0.22,0.06,0.21,7.0,960.0,480.0,480.0,20.0,19.0,20.0,19.0,21.0,1055,Los Angeles Unified School District,Los angeles,4.28
1055,Central East High School,https://www.niche.com/k12/central-east-high-school-fresno-ca/,0.9,0.47,0.17,0.52,0.12,34.0,1080.0,530.0,550.0,24.0,24.0,25.0,24.0,24.0,1056,Central Unified School District,Fresno,3.61
1056,Los Angeles High School of the Arts (LAHSA),https://www.niche.com/k12/los-angeles-high-school-of-the-arts-lahsa-los-angeles-ca/,0.87,0.52,0.12,0.1,0.28,8.0,1090.0,530.0,560.0,30.0,27.0,33.0,30.0,28.0,1057,Los Angeles Unified School District,Los angeles,3.96
1057,Pivot Charter School North Valley,https://www.niche.com/k12/pivot-charter-school-north-valley-chico-ca-060154914363/,0.76,0.45,0.1,,,,,,,,,,,,1058,,6-12,5.0
1058,Delta Charter School,https://www.niche.com/k12/delta-charter-school-aptos-ca/,0.75,0.35,0.1,,,,,,,,,,,,1059,Santa Cruz City High School District,Aptos,4.18
1059,Rancho Mirage High School,https://www.niche.com/k12/rancho-mirage-high-school-rancho-mirage-ca/,0.94,0.52,0.14,0.38,0.22,16.0,1090.0,530.0,550.0,24.0,24.0,25.0,23.0,24.0,1060,Palm Springs Unified School District,Rancho mirage,4.18
1060,Sweetwater High School,https://www.niche.com/k12/sweetwater-high-school-national-city-ca/,0.84,0.38,0.13,0.35,0.35,37.0,1110.0,550.0,560.0,23.0,22.0,24.0,22.0,23.0,1061,Sweetwater Union High School District,National city,3.93
1061,Pacific View Academy,https://www.niche.com/k12/pacific-view-academy-arroyo-grande-ca/,,0.47,0.27,,,,,,,,,,,,1062,Lucia Mar Unified School District,K-12,3.0
1062,Insight School of California,https://www.niche.com/k12/insight-school-of-california-simi-valley-ca/,0.65,0.32,0.05,,,,,,,,,,,,1063,,9-12,3.8
1063,Independence High (Alternative),https://www.niche.com/k12/independence-high-alternative-merced-ca/,0.77,0.32,0.05,,,,,,,,,,,,1064,Merced Union High School District,Merced,3.33
1064,Northern Summit Academy,https://www.niche.com/k12/northern-summit-academy-anderson-ca/,0.9,0.42,0.12,,,,,,,,,,,,1065,,Anderson,5.0
1065,Delta High School,https://www.niche.com/k12/delta-high-school-clarksburg-ca/,0.95,0.42,0.12,0.79,0.35,7.0,1080.0,520.0,560.0,24.0,24.0,26.0,25.0,22.0,1066,River Delta Joint Unified School District,Clarksburg,3.35
1066,Urban Discovery Academy Charter School,https://www.niche.com/k12/urban-discovery-academy-charter-school-san-diego-ca/,0.65,0.3,0.19,,,,,,,,,,,,1067,,San diego,4.29
1067,Mission Oak High School,https://www.niche.com/k12/mission-oak-high-school-tulare-ca/,0.96,0.52,0.18,0.26,0.13,17.0,1090.0,550.0,550.0,24.0,24.0,24.0,23.0,24.0,1068,Tulare Joint Union High School District,Tulare,3.99
1068,Empire Springs Charter School,https://www.niche.com/k12/empire-springs-charter-school-temecula-ca/,0.62,0.46,0.27,,,,,,,,,,,,1069,,Temecula,5.0
1069,San Gorgonio High School,https://www.niche.com/k12/san-gorgonio-high-school-san-bernardino-ca/,0.92,0.47,0.13,0.53,0.24,15.0,1030.0,510.0,520.0,22.0,23.0,22.0,21.0,22.0,1070,San Bernardino City Unified School District,San bernardino,3.77
1070,Golden Valley High School,https://www.niche.com/k12/golden-valley-high-school-merced-ca/,0.97,0.35,0.14,0.22,0.26,10.0,1060.0,530.0,530.0,22.0,21.0,22.0,21.0,22.0,1071,Merced Union High School District,Merced,3.83
1071,Rio Vista High School,https://www.niche.com/k12/rio-vista-high-school-rio-vista-ca/,0.92,0.47,0.08,0.39,0.28,9.0,1110.0,560.0,560.0,24.0,24.0,25.0,25.0,22.0,1072,River Delta Joint Unified School District,Rio vista,3.47
1072,Arthur A. Benjamin Health Professions High School,https://www.niche.com/k12/arthur-a-benjamin-health-professions-high-school-sacramento-ca/,0.9,0.1,0.1,,,,1000.0,490.0,520.0,20.0,20.0,21.0,20.0,19.0,1073,Sacramento City Unified School District,Sacramento,3.66
1073,Holtville High School,https://www.niche.com/k12/holtville-high-school-holtville-ca/,0.95,0.37,0.12,0.48,0.16,6.0,1120.0,550.0,570.0,23.0,22.0,23.0,23.0,23.0,1074,Holtville Unified School District,Holtville,4.09
1074,Quincy Junior/Senior High School,https://www.niche.com/k12/quincy-junior-senior-high-school-quincy-ca/,0.85,0.52,0.27,0.65,0.31,5.0,1240.0,620.0,620.0,,,,,,1075,Plumas Unified School District,Quincy,3.76
1075,Riverdale High School,https://www.niche.com/k12/riverdale-high-school-riverdale-ca/,0.95,0.57,0.32,0.13,0.2,7.0,1000.0,510.0,490.0,18.0,18.0,17.0,16.0,19.0,1076,Riverdale Joint Unified School District,Riverdale,3.74
1076,Willows High School,https://www.niche.com/k12/willows-high-school-willows-ca/,0.95,0.37,0.22,0.04,,,1060.0,520.0,540.0,23.0,21.0,24.0,22.0,22.0,1077,Willows Unified School District,Willows,3.43
1077,Nava College Preparatory Academy,https://www.niche.com/k12/nava-college-preparatory-academy-los-angeles-ca/,0.92,0.37,0.08,0.95,0.21,9.0,970.0,470.0,490.0,,,,,,1078,Los Angeles Unified School District,Los angeles,4.08
1078,Sonoma Valley High School,https://www.niche.com/k12/sonoma-valley-high-school-sonoma-ca/,0.94,0.56,0.2,0.6,0.32,14.0,1150.0,580.0,570.0,26.0,25.0,27.0,27.0,25.0,1079,Sonoma Valley Unified School District,Sonoma,3.28
1079,Academy of Innovation,https://www.niche.com/k12/academy-of-innovation-norco-ca/,,0.48,0.26,,,,,,,,,,,,1080,Corona-Norco Unified School District,K-12,3.0
1080,East Union High School,https://www.niche.com/k12/east-union-high-school-manteca-ca/,0.95,0.48,0.13,0.58,0.16,24.0,1060.0,520.0,540.0,24.0,23.0,24.0,24.0,23.0,1081,Manteca Unified School District,Manteca,3.71
1081,Vista Alternative School,https://www.niche.com/k12/vista-alternative-school-fremont-ca/,,0.65,,,,,,,,,,,,,1082,Fremont Unified School District,Fremont,5.0
1082,Environmental Charter High School - Gardena,https://www.niche.com/k12/environmental-charter-high-school-gardena-gardena-ca/,,,,,,,,,,,,,,,1083,,Gardena,3.2
1083,Bear River High School,https://www.niche.com/k12/bear-river-high-school-grass-valley-ca/,0.95,0.42,0.27,0.26,,,1190.0,580.0,600.0,29.0,28.0,30.0,29.0,28.0,1084,Nevada Joint Union High School District,Grass valley,3.46
1084,Magnolia Science Academy 5,https://www.niche.com/k12/magnolia-science-academy-5-reseda-ca/,,0.47,0.22,,,,,,,,,,,,1085,,Reseda,4.29
1085,Phineas Banning Senior High School,https://www.niche.com/k12/phineas-banning-senior-high-school-wilmington-ca/,0.91,0.37,0.12,0.46,0.18,16.0,1020.0,510.0,510.0,20.0,21.0,21.0,20.0,20.0,1086,Los Angeles Unified School District,Wilmington,3.4
1086,Weston Ranch High School,https://www.niche.com/k12/weston-ranch-high-school-stockton-ca/,0.91,0.48,0.12,0.36,0.16,18.0,1100.0,550.0,550.0,23.0,23.0,25.0,24.0,21.0,1087,Manteca Unified School District,Stockton,3.54
1087,Lindsay Senior High School,https://www.niche.com/k12/lindsay-senior-high-school-lindsay-ca/,0.97,0.57,0.13,0.68,0.17,6.0,980.0,480.0,500.0,23.0,23.0,24.0,22.0,22.0,1088,Lindsay Unified School District,Lindsay,3.78
1088,Erma Duncan Polytechnical High School,https://www.niche.com/k12/erma-duncan-polytechnical-high-school-fresno-ca/,0.97,0.53,0.11,0.25,0.32,10.0,970.0,470.0,500.0,,,,,,1089,Fresno Unified School District,Fresno,4.18
1089,San Diego High School,https://www.niche.com/k12/san-diego-high-school-san-diego-ca-063432011153/,0.9,0.52,0.12,0.63,0.31,9.0,1090.0,540.0,550.0,23.0,22.0,24.0,24.0,22.0,1090,San Diego Unified School District,San diego,3.84
1090,Ednovate - Brio College Prep,https://www.niche.com/k12/ednovate-brio-college-prep-los-angeles-ca/,0.95,0.42,0.12,,,,1130.0,520.0,610.0,22.0,20.0,23.0,22.0,21.0,1091,"Ednovate - Brio College Prep School District,",Los angeles,4.03
1091,Cheviot Hills Continuation,https://www.niche.com/k12/cheviot-hills-continuation-los-angeles-ca/,0.9,,,,,,,,,,,,,,1092,Los Angeles Unified School District,Los angeles,5.0
1092,Tomales High School,https://www.niche.com/k12/tomales-high-school-tomales-ca/,0.9,0.45,0.15,0.13,0.22,7.0,1140.0,560.0,580.0,27.0,26.0,31.0,26.0,26.0,1093,Shoreline Unified School District,Tomales,3.26
1093,Willits Charter School,https://www.niche.com/k12/willits-charter-school-willits-ca/,,0.37,0.27,,,,1100.0,520.0,580.0,,,,,,1094,,Willits,3.2
1094,Eisenhower Senior High School,https://www.niche.com/k12/eisenhower-senior-high-school-rialto-ca/,0.95,0.33,0.14,0.97,0.16,14.0,1000.0,500.0,500.0,19.0,19.0,19.0,17.0,19.0,1095,Rialto Unified School District,Rialto,3.65
1095,Hayward High School,https://www.niche.com/k12/hayward-high-school-hayward-ca/,0.91,0.5,0.17,0.35,0.2,13.0,1100.0,550.0,550.0,23.0,23.0,23.0,22.0,23.0,1096,Hayward Unified School District,Hayward,3.4
1096,Freedom High School,https://www.niche.com/k12/freedom-high-school-oakley-ca/,0.98,0.52,0.14,0.44,0.26,16.0,1100.0,540.0,560.0,24.0,23.0,25.0,24.0,24.0,1097,Liberty Union High School District (Brentwood),Oakley,3.58
1097,Cabrillo High School,https://www.niche.com/k12/cabrillo-high-school-long-beach-ca/,0.86,0.39,0.1,0.14,0.28,18.0,1020.0,510.0,510.0,21.0,21.0,21.0,22.0,21.0,1098,Long Beach Unified School District,Long beach,3.71
1098,Rio Mesa High School,https://www.niche.com/k12/rio-mesa-high-school-oxnard-ca/,0.85,0.43,0.16,0.43,0.21,8.0,1150.0,570.0,570.0,24.0,24.0,25.0,24.0,23.0,1099,Oxnard Union High School District,Oxnard,3.77
1099,Umoja International Academy,https://www.niche.com/k12/umoja-international-academy-sacramento-ca/,,0.34,0.13,,,,1100.0,530.0,560.0,,,,,,1100,Sacramento City Unified School District,Sacramento,4.08
1100,George Washington Carver School of Arts & Science,https://www.niche.com/k12/george-washington-carver-school-of-arts-and-science-sacramento-ca/,0.9,0.55,0.15,0.17,0.06,4.0,1090.0,520.0,560.0,,,,,,1101,Sacramento City Unified School District,Sacramento,3.72
1101,West Valley High School,https://www.niche.com/k12/west-valley-high-school-cottonwood-ca/,0.95,0.47,0.22,0.29,0.18,6.0,1150.0,580.0,580.0,24.0,23.0,25.0,24.0,24.0,1102,Anderson Union High School District,Cottonwood,3.6
1102,Calipatria High School,https://www.niche.com/k12/calipatria-high-school-calipatria-ca/,0.87,0.57,0.12,0.36,0.15,6.0,1100.0,540.0,560.0,23.0,24.0,22.0,23.0,23.0,1103,Calipatria Unified School District,Calipatria,3.64
1103,South El Monte High School,https://www.niche.com/k12/south-el-monte-high-school-south-el-monte-ca/,0.92,0.54,0.17,0.34,0.22,18.0,1070.0,540.0,530.0,19.0,20.0,18.0,18.0,18.0,1104,El Monte Union High School District,South el monte,3.68
1104,Magnolia Science Academy 2,https://www.niche.com/k12/magnolia-science-academy-2-van-nuys-ca/,0.9,0.36,0.22,,,,1120.0,580.0,540.0,22.0,22.0,23.0,22.0,22.0,1105,,Van nuys,3.9
1105,Kings Canyon Online,https://www.niche.com/k12/kings-canyon-online-dunlap-ca/,0.9,0.42,0.17,,,,,,,,,,,,1106,Kings Canyon Joint Unified School District,K-12,4.67
1106,Merced High School,https://www.niche.com/k12/merced-high-school-merced-ca/,0.94,0.43,0.14,0.3,0.14,10.0,1130.0,560.0,570.0,24.0,23.0,24.0,24.0,24.0,1107,Merced Union High School District,Merced,3.56
1107,Delta Charter School,https://www.niche.com/k12/delta-charter-school-tracy-ca/,0.95,0.36,0.19,,,,1160.0,560.0,600.0,22.0,22.0,22.0,22.0,21.0,1108,New Jerusalem Elementary School District,Tracy,3.62
1108,Las Flores High (Alternative),https://www.niche.com/k12/las-flores-high-alternative-sacramento-ca/,0.72,0.43,0.26,,,,,,,,,,,,1109,Elk Grove Unified School District,Sacramento,3.83
1109,Ceres High School,https://www.niche.com/k12/ceres-high-school-ceres-ca/,0.93,0.37,0.15,0.86,0.24,15.0,1060.0,530.0,530.0,20.0,19.0,21.0,20.0,18.0,1110,Ceres Unified School District,Ceres,3.67
1110,Mar Vista Senior High School,https://www.niche.com/k12/mar-vista-senior-high-school-imperial-beach-ca/,0.86,0.57,0.17,0.35,0.38,37.0,1110.0,540.0,560.0,23.0,22.0,24.0,23.0,22.0,1111,Sweetwater Union High School District,Imperial beach,3.5
1111,Sierra Charter School,https://www.niche.com/k12/sierra-charter-school-fresno-ca/,0.77,0.52,0.08,,,,960.0,480.0,490.0,,,,,,1112,,Fresno,4.08
1112,Visalia Technical Early College,https://www.niche.com/k12/visalia-technical-early-college-visalia-ca/,0.9,0.35,0.1,,,,1110.0,540.0,570.0,,,,,,1113,Visalia Unified School District,Visalia,4.35
1113,Washington High School,https://www.niche.com/k12/washington-high-school-fresno-ca/,0.92,0.57,0.12,0.25,0.23,14.0,970.0,470.0,500.0,18.0,18.0,19.0,18.0,18.0,1114,Washington Unified School District,Fresno,3.85
1114,Gompers Preparatory Academy,https://www.niche.com/k12/gompers-preparatory-academy-san-diego-ca/,0.92,0.33,0.11,0.22,0.09,,990.0,490.0,500.0,18.0,17.0,18.0,17.0,18.0,1115,,San diego,4.4
1115,Nogales High School,https://www.niche.com/k12/nogales-high-school-la-puente-ca/,0.93,0.5,0.11,0.47,0.3,18.0,1060.0,530.0,530.0,21.0,20.0,23.0,21.0,21.0,1116,Rowland Unified School District,La puente,3.73
1116,Humanitas Academy of Art & Tech at Esteban E. Torres High #4,https://www.niche.com/k12/humanitas-academy-of-art-and-tech-at-esteban-e-torres-high-4-los-angeles-ca/,0.92,0.47,0.08,0.52,0.2,5.0,980.0,490.0,500.0,21.0,20.0,22.0,20.0,21.0,1117,Los Angeles Unified School District,Los angeles,3.85
1117,Lompoc High School,https://www.niche.com/k12/lompoc-high-school-lompoc-ca/,0.91,0.4,0.09,0.52,0.17,11.0,1080.0,550.0,540.0,26.0,24.0,27.0,26.0,27.0,1118,Lompoc Unified School District,Lompoc,3.75
1118,Laguna High School,https://www.niche.com/k12/laguna-high-school-forestville-ca/,0.87,0.35,0.1,,,,,,,,,,,,1119,West Sonoma County Union High School District,Forestville,4.0
1119,Pittsburg Senior High School,https://www.niche.com/k12/pittsburg-senior-high-school-pittsburg-ca/,0.9,0.39,0.12,0.5,0.23,17.0,1060.0,530.0,540.0,22.0,22.0,23.0,22.0,22.0,1120,Pittsburg Unified School District,Pittsburg,3.64
1120,Live Oak High School,https://www.niche.com/k12/live-oak-high-school-morgan-hill-ca/,0.91,0.51,0.26,0.47,0.39,18.0,1190.0,590.0,600.0,26.0,26.0,28.0,27.0,25.0,1121,Morgan Hill Unified School District,Morgan hill,3.48
1121,Modesto High School,https://www.niche.com/k12/modesto-high-school-modesto-ca/,0.89,0.38,0.12,0.56,0.11,4.0,1120.0,560.0,560.0,22.0,22.0,22.0,21.0,21.0,1122,Modesto City High School District,Modesto,4.12
1122,Valley View High School,https://www.niche.com/k12/valley-view-high-school-moreno-valley-ca/,0.96,0.45,0.17,0.48,0.24,20.0,1100.0,550.0,560.0,22.0,21.0,22.0,21.0,22.0,1123,Moreno Valley Unified School District,Moreno valley,3.7
1123,Coalinga High School,https://www.niche.com/k12/coalinga-high-school-coalinga-ca/,0.85,0.47,0.16,0.64,0.14,8.0,1060.0,520.0,540.0,23.0,20.0,25.0,23.0,23.0,1124,Coalinga-Huron Unified School District,Coalinga,3.69
1124,Andrew P. Hill High School,https://www.niche.com/k12/andrew-p-hill-high-school-san-jose-ca/,0.78,0.48,0.16,0.67,0.13,5.0,1140.0,580.0,560.0,27.0,27.0,27.0,27.0,26.0,1125,East Side Union High School District,San jose,3.38
1125,Yosemite High School,https://www.niche.com/k12/yosemite-high-school-oakhurst-ca/,0.77,0.62,0.27,0.24,0.12,6.0,1210.0,600.0,610.0,27.0,26.0,29.0,28.0,26.0,1126,Yosemite Unified School District,Oakhurst,3.67
1126,Yuba City Independence Academy,https://www.niche.com/k12/yuba-city-independence-academy-yuba-city-ca/,0.85,0.37,0.12,,,,,,,,,,,,1127,Yuba City Unified School District,K-12,4.33
1127,Don Antonio Lugo High School,https://www.niche.com/k12/don-antonio-lugo-high-school-chino-ca/,0.94,0.49,0.16,0.46,0.18,19.0,1100.0,540.0,560.0,24.0,23.0,25.0,23.0,23.0,1128,Chino Valley Unified School District,Chino,3.58
1128,Winters High School,https://www.niche.com/k12/winters-high-school-winters-ca/,0.92,0.47,0.12,0.19,,,1160.0,570.0,590.0,23.0,21.0,24.0,23.0,22.0,1129,Winters Joint Unified School District,Winters,3.21
1129,New Open World Academy K-12,https://www.niche.com/k12/new-open-world-academy-k-12-los-angeles-ca/,0.87,0.33,0.15,0.22,,,950.0,480.0,480.0,,,,,,1130,Los Angeles Unified School District,Los angeles,3.92
1130,Peak Prep Pleasant Valley,https://www.niche.com/k12/peak-prep-pleasant-valley-camarillo-ca/,0.42,0.32,0.17,,,,,,,,,,,,1131,,K-12,4.25
1131,San Jose High School,https://www.niche.com/k12/san-jose-high-school-san-jose-ca/,0.92,0.43,0.12,,,,1100.0,540.0,550.0,23.0,24.0,24.0,23.0,22.0,1132,San Jose Unified School District,San jose,3.65
1132,Canyon Oaks High School,https://www.niche.com/k12/canyon-oaks-high-school-monrovia-ca/,0.9,0.45,0.05,,,,,,,,,,,,1133,Monrovia Unified School District,Monrovia,4.17
1133,Maricopa High School,https://www.niche.com/k12/maricopa-high-school-maricopa-ca/,,,,,,,1020.0,470.0,550.0,,,,,,1134,Maricopa Unified School District,Maricopa,4.2
1134,Calistoga Junior/Senior High School,https://www.niche.com/k12/calistoga-junior-senior-high-school-calistoga-ca/,0.95,0.42,0.17,0.33,0.41,7.0,1040.0,520.0,520.0,19.0,18.0,20.0,18.0,19.0,1135,Calistoga Joint Unified School District,Calistoga,3.34
1135,Bear Creek High School,https://www.niche.com/k12/bear-creek-high-school-stockton-ca/,0.91,0.46,0.19,0.0,0.2,13.0,1140.0,580.0,570.0,24.0,24.0,25.0,24.0,23.0,1136,Lodi Unified School District,Stockton,3.66
1136,Hollister High School,https://www.niche.com/k12/hollister-high-school-hollister-ca/,0.91,0.52,0.24,0.19,0.25,17.0,1130.0,560.0,570.0,23.0,22.0,25.0,23.0,22.0,1137,San Benito High School District,Hollister,3.62
1137,Liberty High,https://www.niche.com/k12/liberty-high-winchester-ca/,,,,,,,1180.0,580.0,600.0,,,,,,1138,Perris Union High School District,Winchester,4.5
1138,Madera High School,https://www.niche.com/k12/madera-high-school-madera-ca/,0.91,0.44,0.14,0.4,0.15,16.0,1060.0,520.0,530.0,23.0,22.0,23.0,24.0,22.0,1139,Madera Unified School District,Madera,3.72
1139,Fremont Academy of Engineering & Design,https://www.niche.com/k12/fremont-academy-of-engineering-and-design-pomona-ca/,0.87,0.34,0.14,0.14,0.3,15.0,1040.0,510.0,520.0,,,,,,1140,Pomona Unified School District,Pomona,4.2
1140,Sotomayor Arts & Sciences Magnet,https://www.niche.com/k12/sotomayor-arts-and-sciences-magnet-los-angeles-ca/,0.87,0.31,0.12,0.41,0.27,4.0,940.0,460.0,480.0,,,,,,1141,Los Angeles Unified School District,Los angeles,3.72
1141,Keyes to Learning Charter School,https://www.niche.com/k12/keyes-to-learning-charter-school-keyes-ca/,,0.62,0.47,,,,,,,,,,,,1142,Keyes Union School District,Keyes,3.6
1142,Northview High School,https://www.niche.com/k12/northview-high-school-covina-ca/,0.99,0.42,0.1,0.34,0.35,17.0,1090.0,540.0,540.0,24.0,24.0,24.0,23.0,23.0,1143,Covina-Valley Unified School District,Covina,3.9
1143,Vista Del Lago High School,https://www.niche.com/k12/vista-del-lago-high-school-moreno-valley-ca/,0.89,0.54,0.12,0.32,0.28,15.0,1100.0,550.0,550.0,21.0,21.0,21.0,20.0,20.0,1144,Moreno Valley Unified School District,Moreno valley,3.43
1144,ABLE Charter Schools,https://www.niche.com/k12/able-charter-schools-stockton-ca/,0.95,0.34,0.16,,,,1050.0,510.0,540.0,17.0,16.0,17.0,16.0,17.0,1145,,Stockton,4.28
1145,Waterford High School,https://www.niche.com/k12/waterford-high-school-waterford-ca/,0.92,0.67,0.27,0.3,0.12,8.0,1140.0,570.0,560.0,,,,,,1146,Waterford Unified School District,Waterford,3.53
1146,Tokay High School,https://www.niche.com/k12/tokay-high-school-lodi-ca/,0.92,0.4,0.23,0.0,0.21,16.0,1170.0,590.0,580.0,24.0,24.0,24.0,24.0,24.0,1147,Lodi Unified School District,Lodi,3.77
1147,Orosi High School,https://www.niche.com/k12/orosi-high-school-orosi-ca/,0.96,0.51,0.22,0.45,0.3,12.0,970.0,480.0,490.0,18.0,17.0,18.0,17.0,18.0,1148,Cutler-Orosi Joint Unified School District,Orosi,3.66
1148,Atwater High School,https://www.niche.com/k12/atwater-high-school-atwater-ca/,0.96,0.4,0.14,0.4,0.14,10.0,1030.0,510.0,520.0,19.0,19.0,20.0,19.0,20.0,1149,Merced Union High School District,Atwater,3.93
1149,Chaffey High School,https://www.niche.com/k12/chaffey-high-school-ontario-ca/,0.83,0.54,0.15,0.59,0.15,12.0,1090.0,540.0,550.0,23.0,23.0,24.0,23.0,23.0,1150,Chaffey Joint Union High School District,Ontario,3.87
1150,Shasta View Academy,https://www.niche.com/k12/shasta-view-academy-redding-ca/,,0.57,0.35,,,,,,,,,,,,1151,,Redding,4.0
1151,Connecting Waters Charter School,https://www.niche.com/k12/connecting-waters-charter-school-waterford-ca/,0.87,0.44,0.23,0.0,0.03,,1190.0,590.0,600.0,25.0,24.0,25.0,26.0,25.0,1152,,Waterford,3.86
1152,Briones (Alternative),https://www.niche.com/k12/briones-alternative-martinez-ca/,0.75,0.75,0.35,,,,,,,,,,,,1153,Martinez Unified School District,Martinez,
1153,Paramount High School,https://www.niche.com/k12/paramount-high-school-paramount-ca/,0.88,0.44,0.11,0.33,0.24,17.0,1060.0,530.0,530.0,23.0,23.0,22.0,23.0,22.0,1154,Paramount Unified School District,Paramount,3.65
1154,Oxnard High School,https://www.niche.com/k12/oxnard-high-school-oxnard-ca/,0.9,0.46,0.14,0.33,0.29,17.0,1080.0,540.0,540.0,23.0,22.0,24.0,23.0,22.0,1155,Oxnard Union High School District,Oxnard,3.62
1155,Hamilton High School,https://www.niche.com/k12/hamilton-high-school-anza-ca/,0.85,0.37,0.12,0.34,0.24,7.0,1070.0,530.0,540.0,,,,,,1156,Hemet Unified School District,Anza,3.5
1156,Manteca High School,https://www.niche.com/k12/manteca-high-school-manteca-ca/,0.95,0.3,0.15,0.39,0.19,28.0,1090.0,540.0,550.0,24.0,23.0,25.0,25.0,23.0,1157,Manteca Unified School District,Manteca,3.73
1157,Capital City Independent Study,https://www.niche.com/k12/capital-city-independent-study-sacramento-ca/,0.57,0.34,0.2,,,,,,,,,,,,1158,Sacramento City Unified School District,Sacramento,4.33
1158,Lifeline Education Charter School,https://www.niche.com/k12/lifeline-education-charter-school-compton-ca/,0.9,0.43,0.2,,,,920.0,460.0,460.0,16.0,17.0,15.0,16.0,15.0,1159,,Compton,3.68
1159,Lucerne Valley High School,https://www.niche.com/k12/lucerne-valley-high-school-lucerne-valley-ca/,0.9,0.45,0.1,,,,1220.0,610.0,610.0,,,,,,1160,Lucerne Valley Unified School District,Lucerne valley,3.44
1160,Palmdale Academy Charter,https://www.niche.com/k12/palmdale-academy-charter-palmdale-ca/,,,,,,,1110.0,540.0,570.0,,,,,,1161,Palmdale Elementary School District,Palmdale,3.8
1161,Motivated Youth Academy,https://www.niche.com/k12/motivated-youth-academy-san-marcos-ca/,0.65,0.32,0.17,,,,,,,,,,,,1162,,K-12,4.67
1162,Walnutwood High (Independent Study),https://www.niche.com/k12/walnutwood-high-independent-study-rancho-cordova-ca/,0.82,0.45,0.15,0.04,,,1140.0,540.0,590.0,,,,,,1163,Folsom-Cordova Unified School District,Rancho cordova,4.28
1163,San Ysidro High School,https://www.niche.com/k12/san-ysidro-high-school-san-diego-ca/,0.77,0.39,0.17,0.61,0.19,37.0,1080.0,540.0,540.0,20.0,20.0,20.0,20.0,20.0,1164,Sweetwater Union High School District,San diego,3.87
1164,Futures High School,https://www.niche.com/k12/futures-high-school-sacramento-ca/,0.82,0.42,0.17,,,,1110.0,570.0,540.0,,,,,,1165,,Sacramento,3.43
1165,Hanford West High School,https://www.niche.com/k12/hanford-west-high-school-hanford-ca/,0.97,0.44,0.16,0.48,0.13,10.0,1100.0,540.0,550.0,26.0,24.0,28.0,27.0,24.0,1166,Hanford Joint Union High School District,Hanford,3.54
1166,San Pasqual Academy,https://www.niche.com/k12/san-pasqual-academy-escondido-ca/,,,,,,,,,,,,,,,1167,,Escondido,4.0
1167,Denair High School,https://www.niche.com/k12/denair-high-school-denair-ca/,0.92,0.42,0.12,0.42,0.23,2.0,1070.0,520.0,550.0,,,,,,1168,Denair Unified School District,Denair,3.51
